@272	  ＼ <br>  (／o＾) <br>  ( ／ <br>  ／ く	名詞	テッテレ～ みんなの顔文字辞典
かおもじ	  ＼ <br>  (／o＾) <br>  ( ／ <br>  ／ く	顔文字	テッテレ～ みんなの顔文字辞典
@502	＿＿＿＿＿＿＿＿＿＿＿<br>　　　　＜○√<br>　　　　　/<br>　　　　 くく<br>しまった！ここは高速ＴＬだ！<br>俺がこのＴＬを止める…だから早く！<br>早く、このpostをふぁぼってRTしてパクるんだ！	名詞	___________　　　　<○√　　　　　/　　　　 くくし みんなの顔文字辞典
かおもじ	＿＿＿＿＿＿＿＿＿＿＿<br>　　　　＜○√<br>　　　　　/<br>　　　　 くく<br>しまった！ここは高速ＴＬだ！<br>俺がこのＴＬを止める…だから早く！<br>早く、このpostをふぁぼってRTしてパクるんだ！	顔文字	___________　　　　<○√　　　　　/　　　　 くくし みんなの顔文字辞典
@450	＿＿＿＿＿<br>　　 ｜おはよう｜<br>　　　￣￣∨￣￣<br>　　　　∧＿∧<br>　　　 (´・ω⊂ヽ゛<br>　　　 /　　 _ノ⌒⌒ヽ<br>、(￣⊂人　 ノシ⌒　　ノ<br>⊂ニニニニニニニニニニニ⊃	名詞	おはよう みんなの顔文字辞典
かおもじ	＿＿＿＿＿<br>　　 ｜おはよう｜<br>　　　￣￣∨￣￣<br>　　　　∧＿∧<br>　　　 (´・ω⊂ヽ゛<br>　　　 /　　 _ノ⌒⌒ヽ<br>、(￣⊂人　 ノシ⌒　　ノ<br>⊂ニニニニニニニニニニニ⊃	顔文字	おはよう みんなの顔文字辞典
@396	＿＿＿＿＿<br>　 ／＼＿＿＿＿＼<br>　|￣＼(∩ﾟｰﾟ) ＼　　<やぁ<br>　|　 ｜￣￣∪￣｜	名詞	ごみばこ みんなの顔文字辞典
かおもじ	＿＿＿＿＿<br>　 ／＼＿＿＿＿＼<br>　|￣＼(∩ﾟｰﾟ) ＼　　<やぁ<br>　|　 ｜￣￣∪￣｜	顔文字	ごみばこ みんなの顔文字辞典
@551	＿＿＿_<br>　 ／ 　   ―　 ＼<br> ／  ノ　  ( ●)　  ＼<br>｜    ( ●)　   ⌒)    ｜<br>｜　　(＿ノ￣　   /<br>｜　　　　　　   /<br> ＼＿　　  ⊂ヽ∩＼<br>　　/   　　  (＿      ＼<br>　  ｜　　　　  ＼＿	名詞	うーん みんなの顔文字辞典
かおもじ	＿＿＿_<br>　 ／ 　   ―　 ＼<br> ／  ノ　  ( ●)　  ＼<br>｜    ( ●)　   ⌒)    ｜<br>｜　　(＿ノ￣　   /<br>｜　　　　　　   /<br> ＼＿　　  ⊂ヽ∩＼<br>　　/   　　  (＿      ＼<br>　  ｜　　　　  ＼＿	顔文字	うーん みんなの顔文字辞典
@423	＿＿＿＿<br>　 ／ 　   ―　 ＼<br> ／  ノ　  ( ●)　 ＼<br>｜    ( ●)　   ⌒)    ｜ なんで～？<br>｜　　(＿ノ￣　　/<br>｜　　　　　　　/<br> ＼＿　　  ⊂ヽ∩＼<br>　　/   　　  (＿      ＼<br>　  ｜　　　　  ＼＿	名詞	きもい みんなの顔文字辞典
かおもじ	＿＿＿＿<br>　 ／ 　   ―　 ＼<br> ／  ノ　  ( ●)　 ＼<br>｜    ( ●)　   ⌒)    ｜ なんで～？<br>｜　　(＿ノ￣　　/<br>｜　　　　　　　/<br> ＼＿　　  ⊂ヽ∩＼<br>　　/   　　  (＿      ＼<br>　  ｜　　　　  ＼＿	顔文字	きもい みんなの顔文字辞典
@260	＿＿＿＿<br>　 ／ 　   ―　 ＼<br> ／  ノ　  ( ●)　 ＼<br>｜    ( ●)　   ⌒)  ｜<br>｜　　(＿ノ￣　　/記憶にないね<br>｜　　　　　　　/<br> ＼＿　　  ⊂ヽ∩＼<br>　　/   　　  (＿      ＼<br>　  ｜　　　　  ＼＿	名詞	絵 みんなの顔文字辞典
かおもじ	＿＿＿＿<br>　 ／ 　   ―　 ＼<br> ／  ノ　  ( ●)　 ＼<br>｜    ( ●)　   ⌒)  ｜<br>｜　　(＿ノ￣　　/記憶にないね<br>｜　　　　　　　/<br> ＼＿　　  ⊂ヽ∩＼<br>　　/   　　  (＿      ＼<br>　  ｜　　　　  ＼＿	顔文字	絵 みんなの顔文字辞典
@425	＿＿＿<br>　／　　　　＼<br>／　　　　　　＼<br>/::::　　　　　　　i<br>|::　　　　　　　|<br>ヽ::　　　 　　 __/<br>/:::　　　　　　＼<br>|::　　　　　 　＿）<br>|:::　　　　　　 i<br> ＼___、____ノ ＿	名詞	しょぼーん みんなの顔文字辞典
かおもじ	＿＿＿<br>　／　　　　＼<br>／　　　　　　＼<br>/::::　　　　　　　i<br>|::　　　　　　　|<br>ヽ::　　　 　　 __/<br>/:::　　　　　　＼<br>|::　　　　　 　＿）<br>|:::　　　　　　 i<br> ＼___、____ノ ＿	顔文字	しょぼーん みんなの顔文字辞典
@324	＿＿＿<br>（＼ ∞  ﾉ<br>　ヽ)_ノ	名詞	パンツ みんなの顔文字辞典
かおもじ	＿＿＿<br>（＼ ∞  ﾉ<br>　ヽ)_ノ	顔文字	パンツ みんなの顔文字辞典
@322	＿＿＿<br>（＼ あ  ﾉ<br>　ヽ)_ノ<br>　＿＿＿<br>（＼ り  ﾉ<br>　ヽ)_ノ<br>　＿＿＿<br>（＼ が  ﾉ<br>　ヽ)_ノ<br>　＿＿＿<br>（＼ と  ﾉ<br>　ヽ)_ノ<br>　＿＿＿<br>（＼ ♡  ﾉ<br>　ヽ)_ノ	名詞	パンツ みんなの顔文字辞典
かおもじ	＿＿＿<br>（＼ あ  ﾉ<br>　ヽ)_ノ<br>　＿＿＿<br>（＼ り  ﾉ<br>　ヽ)_ノ<br>　＿＿＿<br>（＼ が  ﾉ<br>　ヽ)_ノ<br>　＿＿＿<br>（＼ と  ﾉ<br>　ヽ)_ノ<br>　＿＿＿<br>（＼ ♡  ﾉ<br>　ヽ)_ノ	顔文字	パンツ みんなの顔文字辞典
@271	＿_<br>　　　　  ／ ･　  ヽ<br>　　　　/　　　ﾉ･|<br>　　 ／　　　｀ ／<br> __／／　　　  /|<br>￣  7　　　　 /|L_<br>　  /　　　　/　￣<br> 　 l  /￣>_／ <br>	名詞	斜め45° みんなの顔文字辞典
